algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,40,800,200,3777399,154564,3328
DynamicProgramming,40,800,200,3777399,13.1688,5888
Greedy1,40,800,200,2955944,0.0027,5888
Greedy2,40,800,200,3612178,0.0052,5888
