algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,3,100,50,188863,0.0004,3328
DynamicProgramming,3,100,50,188863,0.0482,3712
Greedy1,3,100,50,179381,0.0006,3712
Greedy2,3,100,50,188863,0.0007,3712
