algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,8,160,50,1220209,0.002,3328
DynamicProgramming,8,160,50,1220209,0.0876,3712
Greedy1,8,160,50,1220209,0.0006,3712
Greedy2,8,160,50,1173387,0.001,3712
