algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,200,3000,500,31645724,797.702,26880
Greedy1,200,3000,500,19816686,0.0165,26880
Greedy2,200,3000,500,19816686,0.0345,26880
