algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,100,2000,500,22899367,367.645,19080
Greedy1,100,2000,500,22804757,0.0115,19080
Greedy2,100,2000,500,22804757,0.0483,19080
