algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,20,400,100,1025524,0.1312,3328
DynamicProgramming,20,400,100,1025524,1.1606,4256
Greedy1,20,400,100,574069,0.0011,4256
Greedy2,20,400,100,877990,0.0012,4256
