algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,8,160,50,179737,0.0012,3328
DynamicProgramming,8,160,50,179737,0.0731,3712
Greedy1,8,160,50,142457,0.0007,3712
Greedy2,8,160,50,179737,0.0008,3712
