algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,200,3000,500,36961608,818.065,26880
Greedy1,200,3000,500,28760228,0.0377,26880
Greedy2,200,3000,500,28760228,0.0531,26880
