algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,3,100,50,73627,0.0003,3328
DynamicProgramming,3,100,50,73627,0.0425,3712
Greedy1,3,100,50,73627,0.0006,3712
Greedy2,3,100,50,73627,0.0005,3712
