algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,5,100,50,123409,0.0005,3328
DynamicProgramming,5,100,50,123409,0.0456,3712
Greedy1,5,100,50,102692,0.0007,3712
Greedy2,5,100,50,102692,0.0008,3712
