algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,100,2000,500,19138591,366.724,19076
Greedy1,100,2000,500,15796518,0.0098,19076
Greedy2,100,2000,500,15796518,0.0283,19076
