algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,8,160,50,192810,0.0012,3328
DynamicProgramming,8,160,50,192810,0.0766,3712
Greedy1,8,160,50,192810,0.0006,3712
Greedy2,8,160,50,192810,0.0007,3712
