algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,150,3000,500,32757593,722,26880
Greedy1,150,3000,500,25545650,0.0171,26880
Greedy2,150,3000,500,26375462,0.0429,26880
