algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,150,3000,500,25809473,719.334,26880
Greedy1,150,3000,500,17928467,0.0144,26880
Greedy2,150,3000,500,17928467,0.032,26880
