algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,40,800,200,1391868,18749.4,3328
DynamicProgramming,40,800,200,1391868,13.8482,6144
Greedy1,40,800,200,811092,0.0027,6144
Greedy2,40,800,200,942851,0.0046,6144
