algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,80,1600,400,15623551,148.461,13444
Greedy1,80,1600,400,14759892,0.0068,13444
Greedy2,80,1600,400,12973080,0.0183,13444
