algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,20,400,100,1050764,0.1964,3328
DynamicProgramming,20,400,100,1050764,1.2239,4260
Greedy1,20,400,100,350755,0.0009,4260
Greedy2,20,400,100,1010494,0.0015,4260
