algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,5,100,50,97420,0.0005,3328
DynamicProgramming,5,100,50,97420,0.043,3712
Greedy1,5,100,50,97420,0.0006,3712
Greedy2,5,100,50,97420,0.0005,3712
