algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,20,400,100,603715,0.149,3328
DynamicProgramming,20,400,100,603715,1.2076,4256
Greedy1,20,400,100,517827,0.0013,4256
Greedy2,20,400,100,603715,0.0019,4256
