algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,5,100,50,177654,0.0004,3328
DynamicProgramming,5,100,50,177654,0.0397,3712
Greedy1,5,100,50,177654,0.0007,3712
Greedy2,5,100,50,177654,0.0009,3712
