algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,150,3000,500,27361517,716.441,26880
Greedy1,150,3000,500,19833321,0.0135,26880
Greedy2,150,3000,500,19833321,0.0306,26880
