algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
BruteForce,40,800,200,2963058,4833.8,3328
DynamicProgramming,40,800,200,2963058,13.1283,5888
Greedy1,40,800,200,1358282,0.0027,5888
Greedy2,40,800,200,2947597,0.0041,5888
