algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,100,2000,500,20434890,350.759,19080
Greedy1,100,2000,500,19554818,0.0235,19080
Greedy2,100,2000,500,18449623,0.0297,19080
