algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,80,1600,400,16946307,143.192,13444
Greedy1,80,1600,400,15404402,0.0078,13444
Greedy2,80,1600,400,15404402,0.02,13444
