algoritmo,n,M,E,satisfaccion,tiempo_ms,memoria_kb
DynamicProgramming,80,1600,400,15414362,137.104,13444
Greedy1,80,1600,400,14287991,0.0066,13444
Greedy2,80,1600,400,14287991,0.0202,13444
